ENTFC	2823	830755
STRR6	2030	587055
KLEPH	5727	1643098
HAEIN	1662	511443
9NOCA1	8372	2648670
METJA	1773	497291
STAA8	2888	787862
SHIDS	3893	1093053
PSEAE	5556	1833487
ECOLI	4363	1349576
NEIG1	2106	571507
SALTY	4526	1413095
MYCLE	1602	535547
MYCTU	3988	1313991
CAMJE	1620	506322
HELPY	1538	480731
MYCUL	9033	1677574
9EURO2	12509	6083143
9PEZI1	9561	4660506
SPOS1	8652	4705197
SCHPO	5128	2345836
DICDI	12622	6507876
DRAME	10834	3956557
9EURO1	11170	5219978
TRITR	9564	4027259
YEAST	6040	2902659
SCHMA	13865	7581408
AJECG	9199	4097952
PARBA	8794	3890384
CANAL	5974	2918981
STRER	12613	5524754
LEIIN	7924	4678633
CAEEL	19694	7812271
DROME	13458	6657130
TRYB2	8491	4062090
WUCBA	12721	4087813
PLAF7	5187	3343123
ONCVO	12047	4735343
SOYBN	55799	21578290
ARATH	27434	11038195
BRUMA	8743	3786006
TRYCC	19036	8959643
MAIZE	39299	15342138
DANRE	24664	12660481
ORYSJ	43649	13377036
RAT	21272	10429766
MOUSE	21615	10884613
HUMAN	23391	14850259
