#
#
#  Percent Identity  Matrix - created by Clustal2.1
#
#
     1: gi|30691626|ref|NP_195504.2|      100.00   76.62   59.94   61.80   60.24   60.82   61.42   61.12   59.37   55.59
     2: gi|297727109|ref|NP_001175918.1|   76.62  100.00   58.66   61.06   60.00   61.03   61.33   61.03   58.18   55.81
     3: gi|24653595|ref|NP_523741.2|       59.94   58.66  100.00   71.95   74.56   74.44   74.44   74.29   61.98   59.40
     4: gi|17562024|ref|NP_504291.1|       61.80   61.06   71.95  100.00   73.78   74.85   75.00   74.85   65.04   61.94
     5: gi|54262125|ref|NP_958483.2|       60.24   60.00   74.56   73.78  100.00   86.41   85.97   86.41   63.59   61.38
     6: gi|24234688|ref|NP_004125.3|       60.82   61.03   74.44   74.85   86.41  100.00   98.38   98.38   63.69   61.14
     7: gi|162461907|ref|NP_034611.2|      61.42   61.33   74.44   75.00   85.97   98.38  100.00   99.12   63.69   60.54
     8: gi|410110929|ref|NP_001094128.2|   61.12   61.03   74.29   74.85   86.41   98.38   99.12  100.00   64.00   60.84
     9: gi|6322505|ref|NP_012579.1|        59.37   58.18   61.98   65.04   63.59   63.69   63.69   64.00  100.00   69.98
    10: gi|19114371|ref|NP_593459.1|       55.59   55.81   59.40   61.94   61.38   61.14   60.54   60.84   69.98  100.00
